# Project Volt WS11 - R34 10 Hz trace
# V2 pure series (mode b) / VOLT-REG / climb_10km_6pct / seed 23
# mass 6600 kg, payload 2461 kg; delivered pack 11.083608 kWh usable; R16 acceptance 130.752 kW bus; WS2 r4 662 V map chain; all electrical quantities bus-side (R12)
t_s,v_kmh,grade_pct,P_wheel_kW,P_bus_load_kW,P_gen_bus_kW,P_batt_bus_kW,SOC,P_shaft_eng_kW,fuel_g_per_s,engine_on
0.0000,0.2280,0.2524,0.3226,4.3271,0.0000,-4.3271,0.5500,0.0000,0.0000,0.0000
0.1000,0.4560,0.2524,0.7369,5.1516,0.0000,-5.1516,0.5500,0.0000,0.0000,0.0000
0.2000,0.7600,0.2524,1.5341,6.8078,0.0000,-6.8078,0.5500,0.0000,0.0000,0.0000
0.3000,1.1400,0.2524,2.5306,8.2685,0.0000,-8.2685,0.5499,0.0000,0.0000,0.0000
0.4000,1.5200,0.2524,3.3741,9.1443,0.0000,-9.1443,0.5499,0.0000,0.0000,0.0000
0.5000,1.8999,0.2524,4.2177,10.0326,0.0000,-10.0326,0.5499,0.0000,0.0000,0.0000
0.6000,2.2799,0.2524,5.0613,10.9209,0.0000,-10.9209,0.5499,0.0000,0.0000,0.0000
0.7000,2.6599,0.2525,5.9048,11.8092,0.0000,-11.8092,0.5498,0.0000,0.0000,0.0000
0.8000,3.0398,0.2525,6.7484,12.6977,0.0000,-12.6977,0.5498,0.0000,0.0000,0.0000
0.9000,3.4197,0.2525,7.5918,13.5863,0.0000,-13.5863,0.5498,0.0000,0.0000,0.0000
1.0000,3.7996,0.2525,8.4351,14.4747,0.0000,-14.4747,0.5497,0.0000,0.0000,0.0000
1.1000,4.1795,0.2525,9.2782,15.3629,0.0000,-15.3629,0.5497,0.0000,0.0000,0.0000
1.2000,4.5593,0.2525,10.1211,16.2513,0.0000,-16.2513,0.5496,0.0000,0.0000,0.0000
1.3000,4.9391,0.2525,10.9637,17.1393,0.0000,-17.1393,0.5496,0.0000,0.0000,0.0000
1.4000,5.3188,0.2526,11.8058,18.0268,0.0000,-18.0268,0.5496,0.0000,0.0000,0.0000
1.5000,5.6984,0.2526,12.6476,18.9139,0.0000,-18.9139,0.5495,0.0000,0.0000,0.0000
1.6000,6.0780,0.2526,13.4887,19.8007,0.0000,-19.8007,0.5495,0.0000,0.0000,0.0000
1.7000,6.4574,0.2526,14.3292,20.6866,0.0000,-20.6866,0.5494,0.0000,0.0000,0.0000
1.8000,6.8368,0.2527,15.1690,21.5717,0.0000,-21.5717,0.5493,0.0000,0.0000,0.0000
1.9000,7.2160,0.2527,16.0078,22.4560,0.0000,-22.4560,0.5493,0.0000,0.0000,0.0000
2.0000,7.5951,0.2527,16.8457,23.3394,0.0000,-23.3394,0.5492,0.0000,0.0000,0.0000
2.1000,7.9741,0.2528,17.6824,24.2214,0.0000,-24.2214,0.5492,0.0000,0.0000,0.0000
2.2000,8.3529,0.2528,18.5179,25.1019,0.0000,-25.1019,0.5491,0.0000,0.0000,0.0000
2.3000,8.7316,0.2528,19.3520,25.9813,0.0000,-25.9813,0.5490,0.0000,0.0000,0.0000
2.4000,9.1100,0.2529,20.1845,26.8589,0.0000,-26.8589,0.5490,0.0000,0.0000,0.0000
2.5000,9.4882,0.2529,21.0153,27.7346,0.0000,-27.7346,0.5489,0.0000,0.0000,0.0000
2.6000,9.8663,0.2529,21.8442,28.6082,0.0000,-28.6082,0.5488,0.0000,0.0000,0.0000
2.7000,10.2440,0.2530,22.6711,29.4799,0.0000,-29.4799,0.5487,0.0000,0.0000,0.0000
2.8000,10.6215,0.2530,23.4958,30.3491,0.0000,-30.3491,0.5487,0.0000,0.0000,0.0000
2.9000,10.9987,0.2531,24.3181,31.2155,0.0000,-31.2155,0.5486,0.0000,0.0000,0.0000
3.0000,11.3757,0.2531,25.1377,32.0793,0.0000,-32.0793,0.5485,0.0000,0.0000,0.0000
3.1000,11.7523,0.2531,25.9546,32.9401,0.0000,-32.9401,0.5484,0.0000,0.0000,0.0000
3.2000,12.1285,0.2532,26.7685,33.7974,0.0000,-33.7974,0.5483,0.0000,0.0000,0.0000
3.3000,12.5044,0.2532,27.5792,34.6512,0.0000,-34.6512,0.5482,0.0000,0.0000,0.0000
3.4000,12.8799,0.2533,28.3864,35.5016,0.0000,-35.5016,0.5481,0.0000,0.0000,0.0000
3.5000,13.2549,0.2533,29.1901,36.3479,0.0000,-36.3479,0.5480,0.0000,0.0000,0.0000
3.6000,13.6296,0.2534,29.9899,37.1900,0.0000,-37.1900,0.5480,0.0000,0.0000,0.0000
3.7000,14.0037,0.2534,30.7855,38.0275,0.0000,-38.0275,0.5479,0.0000,0.0000,0.0000
3.8000,14.3774,0.2535,31.5769,38.8606,0.0000,-38.8606,0.5478,0.0000,0.0000,0.0000
3.9000,14.7505,0.2536,32.3637,39.6886,0.0000,-39.6886,0.5477,0.0000,0.0000,0.0000
4.0000,15.1231,0.2536,33.1457,40.5112,0.0000,-40.5112,0.5475,0.0000,0.0000,0.0000
4.1000,15.4952,0.2537,33.9226,41.3284,0.0000,-41.3284,0.5474,0.0000,0.0000,0.0000
4.2000,15.8666,0.2537,34.6942,42.1400,0.0000,-42.1400,0.5473,0.0000,0.0000,0.0000
4.3000,16.2374,0.2538,35.4603,42.9454,0.0000,-42.9454,0.5472,0.0000,0.0000,0.0000
4.4000,16.6075,0.2538,36.2206,43.7445,0.0000,-43.7445,0.5471,0.0000,0.0000,0.0000
4.5000,16.9770,0.2539,36.9747,44.5371,0.0000,-44.5371,0.5470,0.0000,0.0000,0.0000
4.6000,17.3457,0.2540,37.7226,45.3229,0.0000,-45.3229,0.5469,0.0000,0.0000,0.0000
4.7000,17.7137,0.2540,38.4638,46.1013,0.0000,-46.1013,0.5468,0.0000,0.0000,0.0000
4.8000,18.0809,0.2541,39.1982,46.8721,0.0000,-46.8721,0.5466,0.0000,0.0000,0.0000
4.9000,18.4473,0.2542,39.9254,47.6355,0.0000,-47.6355,0.5465,0.0000,0.0000,0.0000
5.0000,18.8129,0.2542,40.6452,48.3907,0.0000,-48.3907,0.5464,0.0000,0.0000,0.0000
5.1000,19.1776,0.2543,41.3573,49.1375,0.0000,-49.1375,0.5463,0.0000,0.0000,0.0000
5.2000,19.5413,0.2544,42.0614,49.8755,0.0000,-49.8755,0.5461,0.0000,0.0000,0.0000
5.3000,19.9042,0.2544,42.7574,50.6049,0.0000,-50.6049,0.5460,0.0000,0.0000,0.0000
5.4000,20.2660,0.2545,43.4448,51.3250,0.0000,-51.3250,0.5459,0.0000,0.0000,0.0000
5.5000,20.6269,0.2546,44.1235,52.0354,0.0000,-52.0354,0.5457,0.0000,0.0000,0.0000
5.6000,20.9867,0.2546,44.7931,52.7360,0.0000,-52.7360,0.5456,0.0000,0.0000,0.0000
5.7000,21.3455,0.2547,45.4535,53.4267,0.0000,-53.4267,0.5455,0.0000,0.0000,0.0000
5.8000,21.7031,0.2548,46.1042,54.1069,0.0000,-54.1069,0.5453,0.0000,0.0000,0.0000
5.9000,22.0596,0.2548,46.7452,54.7764,0.0000,-54.7764,0.5452,0.0000,0.0000,0.0000
6.0000,22.4150,0.2549,47.3761,55.4349,0.0000,-55.4349,0.5450,0.0000,0.0000,0.0000
6.1000,22.7691,0.2550,47.9966,56.0824,0.0000,-56.0824,0.5449,0.0000,0.0000,0.0000
6.2000,23.1220,0.2551,48.6065,56.7183,0.0000,-56.7183,0.5447,0.0000,0.0000,0.0000
6.3000,23.4736,0.2551,49.2056,57.3424,0.0000,-57.3424,0.5446,0.0000,0.0000,0.0000
6.4000,23.8239,0.2552,49.7936,57.9544,0.0000,-57.9544,0.5444,0.0000,0.0000,0.0000
6.5000,24.1728,0.2553,50.3702,58.5543,0.0000,-58.5543,0.5443,0.0000,0.0000,0.0000
6.6000,24.5204,0.2554,50.9353,59.1415,0.0000,-59.1415,0.5441,0.0000,0.0000,0.0000
6.7000,24.8665,0.2554,51.4886,59.7160,0.0000,-59.7160,0.5440,0.0000,0.0000,0.0000
6.8000,25.2112,0.2555,52.0299,60.2776,0.0000,-60.2776,0.5438,0.0000,0.0000,0.0000
6.9000,25.5544,0.2556,52.5590,60.8262,0.0000,-60.8262,0.5437,0.0000,0.0000,0.0000
7.0000,25.8961,0.2557,53.0756,61.3612,0.0000,-61.3612,0.5435,0.0000,0.0000,0.0000
7.1000,26.2362,0.2557,53.5796,61.8824,0.0000,-61.8824,0.5434,0.0000,0.0000,0.0000
7.2000,26.5747,0.2558,54.0708,62.3898,0.0000,-62.3898,0.5432,0.0000,0.0000,0.0000
7.3000,26.9116,0.2559,54.5489,62.8832,0.0000,-62.8832,0.5430,0.0000,0.0000,0.0000
7.4000,27.2469,0.2560,55.0139,63.3623,0.0000,-63.3623,0.5429,0.0000,0.0000,0.0000
7.5000,27.5804,0.2560,55.4655,63.8268,0.0000,-63.8268,0.5427,0.0000,0.0000,0.0000
7.6000,27.9122,0.2561,55.9035,64.2766,0.0000,-64.2766,0.5425,0.0000,0.0000,0.0000
7.7000,28.2423,0.2562,56.3279,64.7118,0.0000,-64.7118,0.5424,0.0000,0.0000,0.0000
7.8000,28.5706,0.2563,56.7384,65.1321,0.0000,-65.1321,0.5422,0.0000,0.0000,0.0000
7.9000,28.8971,0.2563,57.1350,65.5371,0.0000,-65.5371,0.5420,0.0000,0.0000,0.0000
8.0000,29.2217,0.2564,57.5175,65.9269,0.0000,-65.9269,0.5419,0.0000,0.0000,0.0000
8.1000,29.5444,0.2565,57.8859,66.3018,0.0000,-66.3018,0.5417,0.0000,0.0000,0.0000
8.2000,29.8652,0.2566,58.2399,66.6613,0.0000,-66.6613,0.5415,0.0000,0.0000,0.0000
8.3000,30.1841,0.2566,58.5796,67.0053,0.0000,-67.0053,0.5413,0.0000,0.0000,0.0000
8.4000,30.5009,0.2567,58.9048,67.3336,0.0000,-67.3336,0.5412,0.0000,0.0000,0.0000
8.5000,30.8158,0.2568,59.2154,67.6462,0.0000,-67.6462,0.5410,0.0000,0.0000,0.0000
8.6000,31.1286,0.2569,59.5115,67.9432,0.0000,-67.9432,0.5408,0.0000,0.0000,0.0000
8.7000,31.4394,0.2569,59.7930,68.2243,0.0000,-68.2243,0.5406,0.0000,0.0000,0.0000
8.8000,31.7481,0.2570,60.0597,68.4895,0.0000,-68.4895,0.5405,0.0000,0.0000,0.0000
8.9000,32.0546,0.2571,60.3118,68.7388,0.0000,-68.7388,0.5403,0.0000,0.0000,0.0000
9.0000,32.3590,0.2572,60.5492,68.9725,0.0000,-68.9725,0.5401,0.0000,0.0000,0.0000
9.1000,32.6613,0.2572,60.7718,69.1903,0.0000,-69.1903,0.5399,0.0000,0.0000,0.0000
9.2000,32.9613,0.2573,60.9797,69.3924,0.0000,-69.3924,0.5398,0.0000,0.0000,0.0000
9.3000,33.2591,0.2574,61.1730,69.5789,0.0000,-69.5789,0.5396,0.0000,0.0000,0.0000
9.4000,33.5547,0.2574,61.3516,69.7496,0.0000,-69.7496,0.5394,0.0000,0.0000,0.0000
9.5000,33.8480,0.2575,61.5156,69.9048,0.0000,-69.9048,0.5392,0.0000,0.0000,0.0000
9.6000,34.1390,0.2576,61.6650,70.0441,0.0000,-70.0441,0.5390,0.0000,0.0000,0.0000
9.7000,34.4277,0.2576,61.8000,70.1679,0.0000,-70.1679,0.5388,0.0000,0.0000,0.0000
9.8000,34.7141,0.2577,61.9205,70.2760,0.0000,-70.2760,0.5387,0.0000,0.0000,0.0000
9.9000,34.9981,0.2578,62.0267,70.3688,0.0000,-70.3688,0.5385,0.0000,0.0000,0.0000
10.0000,35.2797,0.2578,62.1187,70.4464,0.0000,-70.4464,0.5383,0.0000,0.0000,0.0000
10.1000,35.5590,0.2579,62.1965,70.5088,0.0000,-70.5088,0.5381,0.0000,0.0000,0.0000
10.2000,35.8358,0.2580,62.2604,70.5566,0.0000,-70.5566,0.5379,0.0000,0.0000,0.0000
10.3000,36.1102,0.2580,62.3104,70.5895,0.0000,-70.5895,0.5378,0.0000,0.0000,0.0000
10.4000,36.3822,0.2581,62.3466,70.6078,0.0000,-70.6078,0.5376,0.0000,0.0000,0.0000
10.5000,36.6517,0.2581,62.3693,70.6116,0.0000,-70.6116,0.5374,0.0000,0.0000,0.0000
10.6000,36.9187,0.2582,62.3785,70.6008,0.0000,-70.6008,0.5372,0.0000,0.0000,0.0000
10.7000,37.1833,0.2582,62.3745,70.5758,0.0000,-70.5758,0.5370,0.0000,0.0000,0.0000
10.8000,37.4453,0.2583,62.3573,70.5367,0.0000,-70.5367,0.5368,0.0000,0.0000,0.0000
10.9000,37.7048,0.2584,62.3273,70.4838,0.0000,-70.4838,0.5367,0.0000,0.0000,0.0000
11.0000,37.9619,0.2584,62.2846,70.4174,0.0000,-70.4174,0.5365,0.0000,0.0000,0.0000
11.1000,38.2163,0.2585,62.2293,70.3382,0.0000,-70.3382,0.5363,0.0000,0.0000,0.0000
11.2000,38.4683,0.2585,62.1618,70.2459,0.0000,-70.2459,0.5361,0.0000,0.0000,0.0000
11.3000,38.7177,0.2586,62.0821,70.1406,0.0000,-70.1406,0.5359,0.0000,0.0000,0.0000
11.4000,38.9645,0.2586,61.9906,70.0226,0.0000,-70.0226,0.5358,0.0000,0.0000,0.0000
11.5000,39.2088,0.2587,61.8874,69.8922,0.0000,-69.8922,0.5356,0.0000,0.0000,0.0000
11.6000,39.4505,0.2587,61.7729,69.7496,0.0000,-69.7496,0.5354,0.0000,0.0000,0.0000
11.7000,39.6897,0.2587,59.8097,67.5588,0.0000,-67.5588,0.5352,0.0000,0.0000,0.0000
11.8000,39.9088,0.2588,55.8908,63.2087,0.0000,-63.2087,0.5351,0.0000,0.0000,0.0000
11.9000,40.1073,0.2588,51.9430,58.8375,0.0000,-58.8375,0.5349,0.0000,0.0000,0.0000
12.0000,40.2863,0.2589,47.8815,54.3520,0.0000,-54.3520,0.5348,0.0000,0.0000,0.0000
12.1000,40.4443,0.2589,43.6637,49.7071,0.0000,-49.7071,0.5346,0.0000,0.0000,0.0000
12.2000,40.5819,0.2589,41.1332,46.9260,0.0000,-46.9260,0.5345,0.0000,0.0000,0.0000
12.3000,40.7148,0.2590,40.3520,46.0652,0.0000,-46.0652,0.5344,0.0000,0.0000,0.0000
12.4000,40.8437,0.2590,39.6758,45.3214,0.0000,-45.3214,0.5343,0.0000,0.0000,0.0000
12.5000,40.9689,0.2590,39.2247,44.8252,0.0000,-44.8252,0.5342,0.0000,0.0000,0.0000
12.6000,41.0922,0.2591,38.8799,44.4453,0.0000,-44.4453,0.5340,0.0000,0.0000,0.0000
12.7000,41.2130,0.2591,38.5974,44.1338,0.0000,-44.1338,0.5339,0.0000,0.0000,0.0000
12.8000,41.3325,0.2591,38.3715,43.8842,0.0000,-43.8842,0.5338,0.0000,0.0000,0.0000
12.9000,41.4500,0.2591,37.8598,43.3223,0.0000,-43.3223,0.5337,0.0000,0.0000,0.0000
13.0000,41.5637,0.2592,37.2101,42.6095,0.0000,-42.6095,0.5336,0.0000,0.0000,0.0000
13.1000,41.6741,0.2592,36.7511,42.1055,0.0000,-42.1055,0.5335,0.0000,0.0000,0.0000
13.2000,41.7826,0.2592,36.4663,41.7922,0.0000,-41.7922,0.5334,0.0000,0.0000,0.0000
13.3000,41.8894,0.2592,36.0741,41.3630,0.0000,-41.3630,0.5333,0.0000,0.0000,0.0000
13.4000,41.9932,0.2592,35.4762,40.7100,0.0000,-40.7100,0.5332,0.0000,0.0000,0.0000
13.5000,42.0937,0.2592,34.7196,39.8840,0.0000,-39.8840,0.5331,0.0000,0.0000,0.0000
13.6000,42.1898,0.2593,33.7295,38.8038,0.0000,-38.8038,0.5330,0.0000,0.0000,0.0000
13.7000,42.2805,0.2593,32.3977,37.3515,0.0000,-37.3515,0.5329,0.0000,0.0000,0.0000
13.8000,42.3640,0.2593,31.1406,35.9857,0.0000,-35.9857,0.5328,0.0000,0.0000,0.0000
13.9000,42.4428,0.2593,30.6095,35.4085,0.0000,-35.4085,0.5327,0.0000,0.0000,0.0000
14.0000,42.5209,0.2593,30.3156,35.0890,0.0000,-35.0890,0.5326,0.0000,0.0000,0.0000
14.1000,42.5964,0.2593,29.8306,34.5620,0.0000,-34.5620,0.5325,0.0000,0.0000,0.0000
14.2000,42.6696,0.2593,29.7666,34.4921,0.0000,-34.4921,0.5324,0.0000,0.0000,0.0000
14.3000,42.7440,0.2593,29.9616,34.7033,0.0000,-34.7033,0.5323,0.0000,0.0000,0.0000
14.4000,42.8183,0.2593,29.5974,34.3075,0.0000,-34.3075,0.5322,0.0000,0.0000,0.0000
14.5000,42.8889,0.2593,29.0294,33.6907,0.0000,-33.6907,0.5322,0.0000,0.0000,0.0000
14.6000,42.9576,0.2593,28.7426,33.3791,0.0000,-33.3791,0.5321,0.0000,0.0000,0.0000
14.7000,43.0252,0.2593,28.2614,32.8564,0.0000,-32.8564,0.5320,0.0000,0.0000,0.0000
14.8000,43.0892,0.2593,27.7133,32.2638,0.0000,-32.2638,0.5319,0.0000,0.0000,0.0000
14.9000,43.1514,0.2593,27.1753,31.6824,0.0000,-31.6824,0.5318,0.0000,0.0000,0.0000
15.0000,43.2103,0.2592,26.5218,30.9762,0.0000,-30.9762,0.5317,0.0000,0.0000,0.0000
15.1000,43.2664,0.2592,25.9353,30.3424,0.0000,-30.3424,0.5317,0.0000,0.0000,0.0000
15.2000,43.3197,0.2592,25.3809,29.7435,0.0000,-29.7435,0.5316,0.0000,0.0000,0.0000
15.3000,43.3706,0.2592,24.8038,29.1201,0.0000,-29.1201,0.5315,0.0000,0.0000,0.0000
15.4000,43.4186,0.2592,24.4370,28.7238,0.0000,-28.7238,0.5314,0.0000,0.0000,0.0000
15.5000,43.4660,0.2591,24.4462,28.7337,0.0000,-28.7337,0.5314,0.0000,0.0000,0.0000
15.6000,43.5137,0.2591,24.4338,28.7204,0.0000,-28.7204,0.5313,0.0000,0.0000,0.0000
15.7000,43.5607,0.2591,24.3237,28.6016,0.0000,-28.6016,0.5312,0.0000,0.0000,0.0000
15.8000,43.6072,0.2591,23.9909,28.2421,0.0000,-28.2421,0.5311,0.0000,0.0000,0.0000
15.9000,43.6510,0.2590,23.2666,27.4628,0.0000,-27.4628,0.5311,0.0000,0.0000,0.0000
16.0000,43.6908,0.2590,22.1957,26.3120,0.0000,-26.3120,0.5310,0.0000,0.0000,0.0000
16.1000,43.7251,0.2590,20.8041,24.8164,0.0000,-24.8164,0.5309,0.0000,0.0000,0.0000
16.2000,43.7528,0.2589,19.2113,23.1047,0.0000,-23.1047,0.5309,0.0000,0.0000,0.0000
16.3000,43.7732,0.2589,17.5865,21.3684,0.0000,-21.3684,0.5308,0.0000,0.0000,0.0000
16.4000,43.7867,0.2589,16.1300,19.8126,0.0000,-19.8126,0.5308,0.0000,0.0000,0.0000
16.5000,43.7945,0.2588,14.8760,18.4731,0.0000,-18.4731,0.5307,0.0000,0.0000,0.0000
16.6000,43.7972,0.2588,14.0733,17.6178,0.0000,-17.6178,0.5307,0.0000,0.0000,0.0000
16.7000,43.7980,0.2588,13.5021,17.0120,0.0000,-17.0120,0.5306,0.0000,0.0000,0.0000
16.8000,43.7958,0.2587,12.9613,16.4384,0.0000,-16.4384,0.5306,0.0000,0.0000,0.0000
16.9000,43.7920,0.2587,12.7884,16.2549,0.0000,-16.2549,0.5305,0.0000,0.0000,0.0000
17.0000,43.7882,0.2586,12.9852,16.4636,0.0000,-16.4636,0.5305,0.0000,0.0000,0.0000
17.1000,43.7861,0.2586,13.4111,16.9152,0.0000,-16.9152,0.5305,0.0000,0.0000,0.0000
17.2000,43.7861,0.2585,13.9509,17.4878,0.0000,-17.4878,0.5304,0.0000,0.0000,0.0000
17.3000,43.7887,0.2585,14.4928,18.0636,0.0000,-18.0636,0.5304,0.0000,0.0000,0.0000
17.4000,43.7933,0.2584,14.9249,18.5253,0.0000,-18.5253,0.5303,0.0000,0.0000,0.0000
17.5000,43.7996,0.2584,15.2347,18.8564,0.0000,-18.8564,0.5303,0.0000,0.0000,0.0000
17.6000,43.8069,0.2583,15.3144,18.9415,0.0000,-18.9415,0.5302,0.0000,0.0000,0.0000
17.7000,43.8138,0.2583,15.4693,19.1071,0.0000,-19.1071,0.5302,0.0000,0.0000,0.0000
17.8000,43.8224,0.2582,15.9561,19.6272,0.0000,-19.6272,0.5301,0.0000,0.0000,0.0000
17.9000,43.8334,0.2581,16.3413,20.0389,0.0000,-20.0389,0.5301,0.0000,0.0000,0.0000
18.0000,43.8453,0.2581,16.4175,20.1204,0.0000,-20.1204,0.5300,0.0000,0.0000,0.0000
18.1000,43.8570,0.2580,16.4556,20.1613,0.0000,-20.1613,0.5300,0.0000,0.0000,0.0000
18.2000,43.8691,0.2580,16.4819,20.1894,0.0000,-20.1894,0.5299,0.0000,0.0000,0.0000
18.3000,43.8810,0.2579,16.5517,20.2642,0.0000,-20.2642,0.5299,0.0000,0.0000,0.0000
18.4000,43.8936,0.2578,16.4607,20.1671,0.0000,-20.1671,0.5298,0.0000,0.0000,0.0000
18.5000,43.9046,0.2578,16.0189,19.6952,0.0000,-19.6952,0.5298,0.0000,0.0000,0.0000
18.6000,43.9135,0.2577,15.6521,19.3036,0.0000,-19.3036,0.5297,0.0000,0.0000,0.0000
18.7000,43.9213,0.2576,15.5926,19.2401,0.0000,-19.2401,0.5297,0.0000,0.0000,0.0000
18.8000,43.9296,0.2575,15.7413,19.3990,0.0000,-19.3990,0.5296,0.0000,0.0000,0.0000
18.9000,43.9386,0.2575,16.3339,20.0321,0.0000,-20.0321,0.5296,0.0000,0.0000,0.0000
19.0000,43.9520,0.2574,17.1956,20.9528,0.0000,-20.9528,0.5295,0.0000,0.0000,0.0000
19.1000,43.9684,0.2573,17.5938,21.3783,0.0000,-21.3783,0.5294,0.0000,0.0000,0.0000
19.2000,43.9850,0.2572,17.7569,21.5527,0.0000,-21.5527,0.5294,0.0000,0.0000,0.0000
19.3000,44.0028,0.2572,17.5482,21.3300,0.0000,-21.3300,0.5293,0.0000,0.0000,0.0000
19.4000,44.0176,0.2571,16.7407,20.4676,0.0000,-20.4676,0.5293,0.0000,0.0000,0.0000
19.5000,44.0283,0.2570,15.7430,19.4020,0.0000,-19.4020,0.5292,0.0000,0.0000,0.0000
19.6000,44.0345,0.2569,14.7135,18.3024,0.0000,-18.3024,0.5292,0.0000,0.0000,0.0000
19.7000,44.0363,0.2568,13.4584,16.9693,0.0000,-16.9693,0.5291,0.0000,0.0000,0.0000
19.8000,44.0318,0.2567,12.3262,15.7685,0.0000,-15.7685,0.5291,0.0000,0.0000,0.0000
19.9000,44.0239,0.2567,11.6001,14.9984,0.0000,-14.9984,0.5291,0.0000,0.0000,0.0000
20.0000,44.0132,0.2566,11.4008,14.7868,0.0000,-14.7868,0.5290,0.0000,0.0000,0.0000
20.1000,44.0037,0.2565,11.8500,15.2631,0.0000,-15.2631,0.5290,0.0000,0.0000,0.0000
20.2000,43.9968,0.2564,12.4355,15.8838,0.0000,-15.8838,0.5289,0.0000,0.0000,0.0000
20.3000,43.9924,0.2563,12.7694,16.2378,0.0000,-16.2378,0.5289,0.0000,0.0000,0.0000
20.4000,43.9884,0.2562,12.7766,16.2454,0.0000,-16.2454,0.5289,0.0000,0.0000,0.0000
20.5000,43.9841,0.2561,12.4698,15.9200,0.0000,-15.9200,0.5288,0.0000,0.0000,0.0000
20.6000,43.9775,0.2560,12.1416,15.5719,0.0000,-15.5719,0.5288,0.0000,0.0000,0.0000
20.7000,43.9704,0.2559,12.0570,15.4820,0.0000,-15.4820,0.5287,0.0000,0.0000,0.0000
20.8000,43.9631,0.2558,12.0146,15.4369,0.0000,-15.4369,0.5287,0.0000,0.0000,0.0000
20.9000,43.9557,0.2557,12.1687,15.6003,0.0000,-15.6003,0.5287,0.0000,0.0000,0.0000
21.0000,43.9498,0.2556,12.4275,15.8746,0.0000,-15.8746,0.5286,0.0000,0.0000,0.0000
21.1000,43.9446,0.2555,12.1870,15.6194,0.0000,-15.6194,0.5286,0.0000,0.0000,0.0000
21.2000,43.9366,0.2554,11.3182,14.6980,0.0000,-14.6980,0.5285,0.0000,0.0000,0.0000
21.3000,43.9240,0.2553,10.3845,13.7076,0.0000,-13.7076,0.5285,0.0000,0.0000,0.0000
21.4000,43.9081,0.2552,9.8430,13.1330,0.0000,-13.1330,0.5285,0.0000,0.0000,0.0000
21.5000,43.8909,0.2551,9.7820,13.0681,0.0000,-13.0681,0.5284,0.0000,0.0000,0.0000
21.6000,43.8745,0.2550,10.2265,13.5392,0.0000,-13.5392,0.5284,0.0000,0.0000,0.0000
21.7000,43.8612,0.2549,11.2025,14.5741,0.0000,-14.5741,0.5284,0.0000,0.0000,0.0000
21.8000,43.8533,0.2548,12.4979,15.9478,0.0000,-15.9478,0.5283,0.0000,0.0000,0.0000
21.9000,43.8512,0.2547,13.7415,17.2667,0.0000,-17.2667,0.5283,0.0000,0.0000,0.0000
22.0000,43.8540,0.2546,14.6860,18.2708,0.0000,-18.2708,0.5282,0.0000,0.0000,0.0000
22.1000,43.8600,0.2545,15.3139,18.9416,0.0000,-18.9416,0.5282,0.0000,0.0000,0.0000
22.2000,43.8682,0.2544,15.7326,19.3890,0.0000,-19.3890,0.5281,0.0000,0.0000,0.0000
22.3000,43.8778,0.2542,16.1399,19.8242,0.0000,-19.8242,0.5281,0.0000,0.0000,0.0000
22.4000,43.8894,0.2541,16.3530,20.0520,0.0000,-20.0520,0.5280,0.0000,0.0000,0.0000
22.5000,43.9008,0.2540,16.3903,20.0919,0.0000,-20.0919,0.5280,0.0000,0.0000,0.0000
22.6000,43.9127,0.2539,16.6074,20.3241,0.0000,-20.3241,0.5279,0.0000,0.0000,0.0000
22.7000,43.9259,0.2538,17.0655,20.8135,0.0000,-20.8135,0.5279,0.0000,0.0000,0.0000
22.8000,43.9417,0.2537,17.6164,21.4021,0.0000,-21.4021,0.5278,0.0000,0.0000,0.0000
22.9000,43.9596,0.2536,18.1483,21.9706,0.0000,-21.9706,0.5278,0.0000,0.0000,0.0000
23.0000,43.9799,0.2534,18.5485,22.3982,0.0000,-22.3982,0.5277,0.0000,0.0000,0.0000
23.1000,44.0010,0.2533,18.5825,22.4348,0.0000,-22.4348,0.5276,0.0000,0.0000,0.0000
23.2000,44.0215,0.2532,18.2712,22.1025,0.0000,-22.1025,0.5276,0.0000,0.0000,0.0000
23.3000,44.0399,0.2531,17.5509,21.3333,0.0000,-21.3333,0.5275,0.0000,0.0000,0.0000
23.4000,44.0541,0.2530,16.6103,20.3287,0.0000,-20.3287,0.5275,0.0000,0.0000,0.0000
23.5000,44.0644,0.2528,15.7049,19.3618,0.0000,-19.3618,0.5274,0.0000,0.0000,0.0000
23.6000,44.0708,0.2527,14.7564,18.3486,0.0000,-18.3486,0.5274,0.0000,0.0000,0.0000
23.7000,44.0729,0.2526,13.8793,17.4162,0.0000,-17.4162,0.5273,0.0000,0.0000,0.0000
23.8000,44.0719,0.2525,13.1969,16.6924,0.0000,-16.6924,0.5273,0.0000,0.0000,0.0000
23.9000,44.0681,0.2523,12.6941,16.1592,0.0000,-16.1592,0.5272,0.0000,0.0000,0.0000
24.0000,44.0628,0.2522,12.6044,16.0640,0.0000,-16.0640,0.5272,0.0000,0.0000,0.0000
24.1000,44.0583,0.2521,13.1784,16.6726,0.0000,-16.6726,0.5272,0.0000,0.0000,0.0000
24.2000,44.0579,0.2520,14.0453,17.5919,0.0000,-17.5919,0.5271,0.0000,0.0000,0.0000
24.3000,44.0609,0.2518,15.0720,18.6856,0.0000,-18.6856,0.5271,0.0000,0.0000,0.0000
24.4000,44.0692,0.2517,16.3000,19.9975,0.0000,-19.9975,0.5270,0.0000,0.0000,0.0000
